"Points:0","Points:1","Points:2"
-1,0.021299,0
-1,0.05,0
-1,0.15607,0
-1,0.6,0
-1,-3.4001e-17,0
-1,0.0009,0
-1,0.6,0.01
-1,0.15607,0.01
-1,0.05,0.01
-1,0.021299,0.01
-1,0.0009,0.01
-1,-3.4001e-17,0.01
-1,0.023691,0
-1,0.026082,0
-1,0.028474,0
-1,0.030866,0
-1,0.033258,0
-1,0.035649,0
-1,0.038041,0
-1,0.040433,0
-1,0.042825,0
-1,0.045216,0
-1,0.047608,0
-1,0.054419,0
-1,0.058839,0
-1,0.063258,0
-1,0.067678,0
-1,0.072097,0
-1,0.076517,0
-1,0.080936,0
-1,0.085355,0
-1,0.089775,0
-1,0.094194,0
-1,0.098614,0
-1,0.10303,0
-1,0.10745,0
-1,0.11187,0
-1,0.11629,0
-1,0.12071,0
-1,0.12513,0
-1,0.12955,0
-1,0.13397,0
-1,0.13839,0
-1,0.14281,0
-1,0.14723,0
-1,0.15165,0
-1,0.16207,0
-1,0.16811,0
-1,0.17426,0
-1,0.18055,0
-1,0.18703,0
-1,0.19376,0
-1,0.20079,0
-1,0.20818,0
-1,0.21598,0
-1,0.22426,0
-1,0.23308,0
-1,0.24252,0
-1,0.25264,0
-1,0.26354,0
-1,0.27529,0
-1,0.28799,0
-1,0.30174,0
-1,0.31665,0
-1,0.33284,0
-1,0.35044,0
-1,0.36958,0
-1,0.39043,0
-1,0.41314,0
-1,0.43791,0
-1,0.46491,0
-1,0.49438,0
-1,0.52654,0
-1,0.56166,0
-1,0.00185,0
-1,0.0028387,0
-1,0.0038719,0
-1,0.0049562,0
-1,0.0060996,0
-1,0.0073108,0
-1,0.0086005,0
-1,0.0099812,0
-1,0.011468,0
-1,0.013079,0
-1,0.014836,0
-1,0.016767,0
-1,0.018907,0
-1,0.16207,0.01
-1,0.16811,0.01
-1,0.17426,0.01
-1,0.18055,0.01
-1,0.18703,0.01
-1,0.19376,0.01
-1,0.20079,0.01
-1,0.20818,0.01
-1,0.21598,0.01
-1,0.22426,0.01
-1,0.23308,0.01
-1,0.24252,0.01
-1,0.25264,0.01
-1,0.26354,0.01
-1,0.27529,0.01
-1,0.28799,0.01
-1,0.30174,0.01
-1,0.31665,0.01
-1,0.33284,0.01
-1,0.35044,0.01
-1,0.36958,0.01
-1,0.39043,0.01
-1,0.41314,0.01
-1,0.43791,0.01
-1,0.46491,0.01
-1,0.49438,0.01
-1,0.52654,0.01
-1,0.56166,0.01
-1,0.054419,0.01
-1,0.058839,0.01
-1,0.063258,0.01
-1,0.067678,0.01
-1,0.072097,0.01
-1,0.076517,0.01
-1,0.080936,0.01
-1,0.085355,0.01
-1,0.089775,0.01
-1,0.094194,0.01
-1,0.098614,0.01
-1,0.10303,0.01
-1,0.10745,0.01
-1,0.11187,0.01
-1,0.11629,0.01
-1,0.12071,0.01
-1,0.12513,0.01
-1,0.12955,0.01
-1,0.13397,0.01
-1,0.13839,0.01
-1,0.14281,0.01
-1,0.14723,0.01
-1,0.15165,0.01
-1,0.023691,0.01
-1,0.026082,0.01
-1,0.028474,0.01
-1,0.030866,0.01
-1,0.033258,0.01
-1,0.035649,0.01
-1,0.038041,0.01
-1,0.040433,0.01
-1,0.042825,0.01
-1,0.045216,0.01
-1,0.047608,0.01
-1,0.00185,0.01
-1,0.0028387,0.01
-1,0.0038719,0.01
-1,0.0049562,0.01
-1,0.0060996,0.01
-1,0.0073108,0.01
-1,0.0086005,0.01
-1,0.0099812,0.01
-1,0.011468,0.01
-1,0.013079,0.01
-1,0.014836,0.01
-1,0.016767,0.01
-1,0.018907,0.01
